,date,weather,wind_direction,wind_power
310,2016/5/7,多云,东南风,3.5
311,2016/5/8,多云,东南风,3.5
312,2016/5/9,多云,东南风,3.5
313,2016/5/10,多云,东北风,3.5
314,2016/5/11,多云,东北风,3.5
315,2016/5/12,多云,东南风,3.5
316,2016/5/13,雷阵雨~多云,东北风,3.5
317,2016/5/14,多云,东北风,3.5
318,2016/5/15,多云,东北风,3.5
319,2016/5/16,多云,东风,3.5
320,2016/5/17,多云,东北风,3.5
321,2016/5/18,多云,东南风,3.5
322,2016/5/19,多云,东南风,3.5
323,2016/5/20,多云,东南风,3.5
324,2016/5/21,雷阵雨,东北风,3.5
325,2016/5/22,多云,东北风,3.5
326,2016/5/23,多云,东北风,3.5
327,2016/5/24,雷阵雨,东北风,3.5
328,2016/5/25,雷阵雨,东北风,3.5
329,2016/5/26,雷阵雨,东南风,3.5
330,2016/5/27,雷阵雨~多云,东南风,3.5
331,2016/5/28,多云,东南风,3.5
332,2016/5/29,多云~雷阵雨,东北风,3.5
333,2016/5/30,雷阵雨,东南风,3.5
334,2016/5/31,多云,西南风,3.5
335,2016/6/1,多云,西北风,3.5
336,2016/6/2,多云,西南风,3.5
337,2016/6/3,多云,西南风,3.5
338,2016/6/4,多云,东北风,3.5
339,2016/6/5,多云,东南风,3.5
340,2016/6/6,多云,东南风,3.5
341,2016/6/7,雷阵雨~多云,东南风,3.5
342,2016/6/8,雷阵雨~多云,西南风,3.5
343,2016/6/9,雷阵雨,西南风,3.5
344,2016/6/10,多云,西南风,3.5
345,2016/6/11,多云,东南风,3.5
346,2016/6/12,多云,东南风,3.5
347,2016/6/13,多云,西南风,3.5
348,2016/6/14,多云,西南风,3.5
349,2016/6/15,多云,东南风,3.5
350,2016/6/16,多云,东北风,3.5
351,2016/6/17,多云~小雨,东南风,3.5
352,2016/6/18,多云,东南风,3.5
353,2016/6/19,多云,东北风,3.5
354,2016/6/20,多云,东南风,3.5
355,2016/6/21,多云~小雨,东南风,3.5
356,2016/6/22,小雨,东北风,3.5
357,2016/6/23,小雨,东南风,3.5
358,2016/6/24,小雨,东北风,3.5
359,2016/6/25,中到大雨,东北风,3.5
360,2016/6/26,雷阵雨,东北风,3.5
361,2016/6/27,雷阵雨,东北风,3.5
362,2016/6/28,雷阵雨,东北风,3.5
363,2016/6/29,雷阵雨,东南风,3.5
364,2016/6/30,雷阵雨~小雨,东南风,3.5
365,2016/7/1,多云~小雨,东南风,3.5
366,2016/7/2,小雨,东北风,3.5
367,2016/7/3,多云,东南风,3.5
376,2016/7/12,多云,西南风,3.5
377,2016/7/13,多云~雷阵雨,西风,3.5
378,2016/7/14,雷阵雨转多云,南风,3.5
379,2016/7/15,多云,东南风,3.5
380,2016/7/16,多云,南风,3.5
381,2016/7/17,多云转阵雨,东南风,3.5
382,2016/7/18,多云转阵雨,南风,3.5
383,2016/7/19,多云,南风,3.5
384,2016/7/20,多云,南风,3.5
385,2016/7/21,多云,南风,3.5
386,2016/7/22,多云,南风,3.5
387,2016/7/23,多云,南风,3.5
388,2016/7/24,多云,南风,3.5
389,2016/7/25,多云,北风,3.5
390,2016/7/26,大到暴雨,西风,3.5
391,2016/7/27,大到暴雨,西风,3.5
392,2016/7/28,阵雨,东南风,3.5
393,2016/7/29,阵雨,东南风,3.5
394,2016/7/30,多云,西北风,3.5
